nome;referencia;preco_unitario;desconto_unitario;descricao
02 Fronhas De Cetim Anti Frizz Luxo ( Envio Imediato );MLB3571175113;92,35;12,60;Cor: Preto
02 Fronhas De Cetim Anti Frizz Luxo ( Envio Imediato );MLB4608547860;20,99;0,00;Cor: Dourado
02 Fronhas De Cetim Anti Frizz Luxo ( Envio Imediato );MLB4392830072;20,99;0,00;Cor: Dourado
0X075ABX701840 LAVA E SECA WD11A EB 11KG INOX LOOK 220V - EAN: 8806092939257;WD11A4453BXFAZ;4124,47;0,00;
12 Pares De Luvas Macias Brancas De Algodão Manuseio De Jóia;MLB3571175113;85,17;15,04;
3 Refil Jarra Ak Water -purificador De Água- Filtro Original;MLB3571175113;1,79;0,00;Cor: Branco
3un Oxi93 Oxigênio Spray 500ml Suplemento Fitness Treino;MLB3587757783;239,40;0,00;Sabor: Menta
400 Baterias Alcalinas Lr44 A76 Ag13 Sr1154 - Frete Grátis;MLB3571175113;1,98;0,22;
600 Adesivos Marcador Fichário Colorido Página Lembrete Post;MLB3571175113;70,20;0,00;
Acessórios iMac para i-Mac 2021/2023/2024, PULWTOP USB C Hub para iMac com USB A/C 10Gbps, Hub para M1/M3/M4, 2USB A 2.0, leitor de cartão SD/TF para iMac de 24 polegadas e Studio Display 2 azul;B0D1MF3TGC;269,99;0,00;
Aguia Dourada em Resina Premium;MLB904775882_42965670228;149,31;0,00;xPed:2000007155796412 Total aproximado de tributos federais, estaduais e municipais: R$68,53
AirPods Max - Azul;1268350;6590,00;0,00;xPed:2000010267387248 Total aproximado de tributos federais, estaduais e municipais: R$3.706,88
AirPods Pro (2° Geração) Original, Usb-c (2023) Lacrado + Nf;MLB4811764566;1899,81;99,99;Cor: Branco
Airtag Apple Air Tag Rastreador Localizador Original C/ Nota Branco;MLB5095556640;375,56;0,00;
Amolador Afiador De Facas Adaga Tesouras 3 Em 1 Profissional Relet;afiador de facas;8,00;0,00;
Androtase Beta Sitosterol 300mg 30 Cps;MLB4608547860;1,09;0,00;Sabor: Nota Fiscal
Androtase Beta Sitosterol 300mg 30 Cps;MLB4392830072;1,09;0,00;Sabor: Nota Fiscal
Apple Magic Trackpad Usb-c Branco Mxk93;MLB5380703436;13,97;0,00;Cor: Branco
Apple watch ultra;195949583131;6999,00;0,00;xPed:2000010266081836 Total aproximado de tributos federais, estaduais e municipais: R$2.826,90
